mlbam,bbref,fangraphs,retro,name
801406,,,,Jared Dickey
687479,,,,Nick Grande
837768,,,,Enrique Lovera
808663,,,,Esteban Dicent
691349,,,,Ricardo Rivera
671122,,,,Mason Doolittle
680911,milleow01,24655,millo002,Owen Miller
695726,,,,Alex Ulloa
703231,meekeja01,29891,meekj001,James Meeker
660636,castidi02,19906,castd004,Diego Castillo
669327,,,,Tanner Allen
829064,,,,Kenny Fenelon
689302,,,,Karson Simas
680900,,,,Mason Pelio
695377,,,,Jeff Hakanson
814144,,,,Donovan LaSalle
702571,,,,Jacob Miller
691947,,,,Ronan Kopp
642239,zastrro01,15094,zastr001,Rob Zastryzny
809343,,,,Bryce Mayer
663681,,,,Jarod Bayless
675455,,,,Milan Tolentino
695426,,,,Spencer Bramwell
667656,,,,Jake Hirabayashi
830002,,,,Rayner Herrera
675657,,,,Chris McMahon
674671,,,,Robbie Glendinning
686223,,,,Joey Mancini
702332,durbica01,29646,durbc002,Caleb Durbin
701552,granian01,29542,grana001,Andre Granillo
826545,,,,Brendan Durfee
805995,,,,Simon Reid
667521,,,,Johnny Rizer
679779,,,,Jordan Cannon
596001,junisja01,13619,junij001,Jakob Junis
685321,,,,Gabe Bierman
669937,,,,Tyler Dyson
808323,,,,Keeler Morfe
806067,,,,James Ellwanger
675981,,,,Joe Gobillot
671129,,,,Tyler Ahearn
696100,goodmhu01,29715,goodh001,Hunter Goodman
676275,,,,Blake Beers
694387,,,,Christian Knapczyk
833392,,,,Brendan Brock
700956,,,,Tyler Hoffman
811697,,,,Tanner Perry
822956,,,,Jack Martinez
683227,freemco01,25629,freec003,Cody Freeman
806071,,,,Jonny Farmelo
808136,,,,Raymond Sosa
809797,,,,Yeferson Tales
684937,,,,Hunter McMahon
694766,,,,Wyatt Hudepohl
695670,fordha01,29958,fordh001,Harry Ford
683349,,,,Calvin Ziegler
692221,,,,Sammy Infante
674913,,,,Chad Castillo
686843,,,,William Matthiessen
824892,,,,Ezequiel Sosa
687687,,,,Brayner Sánchez
688601,,,,Kobe Robinson
669217,,,,Cory Wood
815394,,,,Theo Gillen
830769,,,,Nick Potter
688004,,,,Shelton Perkins
823650,,,,Miqueas Mercedes
694192,chourja01,28806,chouj001,Jackson Chourio
801921,,,,Carter Lovasz
673920,,,,Sean Mellen
827110,,,,Austin Cates
700998,,,,Dayton Dooney
694383,,,,Grayson Moore
686900,,,,Evan Shawver
694281,,,,Tomas Frick
694394,,,,Cullen Kafka
691103,,,,Koen Moreno
687770,,,,Brock Bell
680694,bradiky01,24586,bradk001,Kyle Bradish
807575,,,,Cam Schuelke
687525,,,,Bobby Ay
681462,,,,Graham Firoved
698931,,,,Kevin Guerrero
680436,,,,Trenton Wallace
803849,,,,Devin Fitz-Gerald
690180,,,,Bryce Windham
833439,,,,Peyton Fosher
696140,,,,Ethan Murray
687184,,,,Jayson Hoopes
677951,wittbo02,25764,wittb002,Bobby Witt
678652,,,,Jesus Chirinos
808837,,,,Braden Quinn
827500,,,,Hunter Dryden
806281,,,,Blaze Pontes
808268,,,,Juan Rasquin
804756,,,,Jacob Morrison
701411,,,,Jack Cebert
687553,,,,Kamren James
689070,,,,Spencer Packard
814340,,,,Raul Garayzar
688904,,,,Wyatt Cheney
608385,winkeje01,13590,winkj002,Jesse Winker
687280,,,,Geoffrey Gilbert
694680,martitr01,,,Trevor Martin
667725,tylerky01,22092,tylek001,Kyle Tyler
684949,,,,Zac Leigh
668952,kreidry01,25867,kreir001,Ryan Kreidler
813400,,,,Jack Winnay
696286,,,,Davis Diaz
822824,,,,Cooper McGrath
676979,crochga01,27463,crocg001,Garrett Crochet
607333,taylobe11,12384,taylb003,Beau Taylor
695766,,,,Mason Molina
807239,,,,Bernard Moon
679057,,,,Mason Green
696521,,,,Garrett Spain
828598,,,,Chipper Menard
592169,briceau01,17237,brica001,Austin Brice
688534,,,,Garrett Westberg
835054,,,,Cale Wetwiska
691332,,,,Luis González
690776,,,,Brady Rose
669011,,,,Elliott Anderson
687931,whiseca01,31676,whisc001,Carson Whisenhunt
683363,,,,Matt Wilkinson
828148,,,,Conor Essenburg
702563,,,,Mason Neville
663362,waldrma01,25550,waldm003,Matt Waldron
663858,,,,Antoine Duplantis
703641,,,,Adrian Rodriguez
692225,campbkr01,33644,campk002,Kristian Campbell
688902,,,,Nick Pinto
821938,,,,Jackson Hotchkiss
701653,,,,Mason Guerra
671287,,,,Phil Clarke
669219,,,,Je'Von Ward
811172,,,,Conner Ware
685776,,,,Stiven Acevedo
687114,,,,Bryce Hubbart
695034,morrika01,,,Kade Morris
623507,lestejo02,17737,lestj002,Josh Lester
804986,,,,Andrew Healy
691013,,,,Jason Savacool
701330,,,,Brody Donay
650869,,,,Rodolfo Martinez
686449,,,,Michael McAvene
668939,rutscad01,26288,rutsa001,Adley Rutschman
688927,,,,Alex Achtermann
666122,,,,Jeff Belge
693738,,,,José Cosma
700932,manzaky01,29794,manzk001,Kyle Manzardo
