date,channel,direction,assets_in,assets_out,unresolved,desc
2022-06-23,trade,both,Patrick Dorrian,,1,Baltimore Orioles traded 2B Patrick Dorrian to Milwaukee Brewers for cash.
2022-11-06,passive_loss,out,,Taylor Rogers,0,LHP Taylor Rogers elected free agency.
2022-11-06,passive_loss,out,,Jace Peterson,0,2B Jace Peterson elected free agency.
2022-11-06,passive_loss,out,,Andrew McCutchen,0,DH Andrew McCutchen elected free agency.
2022-11-06,passive_loss,out,,Trevor Rosenthal,0,RHP Trevor Rosenthal elected free agency.
2022-11-07,passive_loss,out,,Omar Narváez,0,C Omar Narvaez elected free agency.
2022-11-09,fa_minor,in,Elias Gonzalez,,0,Milwaukee Brewers signed free agent RHP Elias Gonzalez to a minor league contract.
2022-11-10,passive_loss,out,,Brad Boxberger,0,RHP Brad Boxberger elected free agency.
2022-11-10,fa_minor,in,Tobias Myers,,0,Milwaukee Brewers signed free agent RHP Tobias Myers to a minor league contract.
2022-11-10,waiver_claim,in,Tyson Miller,,0,Milwaukee Brewers claimed RHP Tyson Miller off waivers from Texas Rangers.
2022-11-10,trade,both,Payton Henry,Reminton Batista,0,Miami Marlins traded C Payton Henry to Milwaukee Brewers for RF Reminton Batista.
2022-11-14,fa_minor,in,Idalberto Santiesteban,,0,Milwaukee Brewers signed free agent OF Idalberto Santiesteban to a minor league contract.
2022-11-18,passive_loss,out,,Jandel Gustave,0,RHP Jandel Gustave elected free agency.
2022-11-18,passive_loss,out,,Trevor Gott,0,RHP Trevor Gott elected free agency.
2022-11-18,passive_loss,out,,Luis Perdomo,0,RHP Luis Perdomo elected free agency.
2022-11-18,waiver_loss,out,,Brent Suter,0,Colorado Rockies claimed LHP Brent Suter off waivers from Milwaukee Brewers.
2022-11-18,trade,both,Javy Guerra,,1,Tampa Bay Rays traded RHP Javy Guerra to Milwaukee Brewers for Player To Be Named Later.
2022-11-23,fa_major,in,Blake Perkins,,0,Milwaukee Brewers signed free agent CF Blake Perkins.
2022-11-23,trade,both,Adam Seminaris; Elvis Peguero; Janson Junk,Hunter Renfroe,0,"Milwaukee Brewers traded RF Hunter Renfroe to Los Angeles Angels for RHP Janson Junk, RHP Elvis Peguero and LHP Adam Seminaris."
2022-12-02,trade,both,Abraham Toro; Jesse Winker,Kolten Wong,1,Milwaukee Brewers traded 2B Kolten Wong and cash to Seattle Mariners for LF Jesse Winker and 3B Abraham Toro.
2022-12-05,fa_minor,in,Adonis Medina,,0,Milwaukee Brewers signed free agent RHP Adonis Medina to a minor league contract.
2022-12-07,waiver_claim,in,Gus Varland,,0,Milwaukee Brewers claimed RHP Gus Varland off waivers from Tulsa Drillers.
2022-12-09,fa_minor,in,Christian Mejias,,0,Milwaukee Brewers signed free agent RHP Christian Mejias to a minor league contract.
2022-12-09,fa_minor,in,Luis Amaya,,0,Milwaukee Brewers signed free agent LHP Luis Amaya to a minor league contract.
2022-12-12,trade,both,Joel Payamps; Justin Yeager; William Contreras,Esteury Ruiz,0,"Atlanta Braves traded RHP Freddy Tarnok, C Manny Piña, RHP Royber Salinas, 2B Esteury Ruiz and LHP Kyle Muller to Oakland Athletics for C Sean Murphy."
2022-12-14,trade,both,Owen Miller,,1,Cleveland Guardians traded SS Owen Miller to Milwaukee Brewers for Player To Be Named Later.
2022-12-20,fa_minor,in,Thomas Pannone,,0,Milwaukee Brewers signed free agent LHP Thomas Pannone to a minor league contract and invited him to spring training.
2022-12-20,fa_minor,in,Eddy Alvarez,,0,Milwaukee Brewers signed free agent SS Eddy Alvarez to a minor league contract and invited him to spring training.
2022-12-20,fa_minor,in,Collin Wiles,,0,Milwaukee Brewers signed free agent RHP Collin Wiles to a minor league contract and invited him to spring training.
2022-12-21,waiver_loss,out,,Mario Feliciano,0,Detroit Tigers claimed C Mario Feliciano off waivers from Milwaukee Brewers.
2023-01-03,fa_minor,in,Alex Claudio,,0,Milwaukee Brewers signed free agent LHP Alex Claudio to a minor league contract and invited him to spring training.
2023-01-04,trade,both,Bryse Wilson,,1,Pittsburgh Pirates traded RHP Bryse Wilson to Milwaukee Brewers for cash.
2023-01-07,trade,both,Joseph Hernandez,Justin Topa,0,Milwaukee Brewers traded RHP Justin Topa to Seattle Mariners for RHP Joseph Hernandez.
2023-01-09,fa_minor,in,Josh VanMeter,,0,Milwaukee Brewers signed free agent 2B Josh VanMeter to a minor league contract and invited him to spring training.
2023-01-09,fa_major,in,Wade Miley,,0,Milwaukee Brewers signed free agent LHP Wade Miley.
2023-01-11,fa_minor,in,Lamar Sparks,,0,Milwaukee Brewers signed free agent CF Lamar Sparks to a minor league contract.
2023-01-12,fa_minor,in,Thyago Vieira,,0,Milwaukee Brewers signed free agent RHP Thyago Vieira to a minor league contract.
2023-01-15,fa_minor,in,Kevin Ereu,,0,Milwaukee Brewers signed free agent SS Kevin Ereu to a minor league contract.
2023-01-15,fa_minor,in,Jhon Bencosme,,0,Milwaukee Brewers signed free agent SS Jhon Bencosme to a minor league contract.
2023-01-15,fa_minor,in,Yophery Rodriguez,,0,Milwaukee Brewers signed free agent OF Yophery Rodriguez to a minor league contract.
2023-01-15,fa_minor,in,Eduardo Charles,,0,Milwaukee Brewers signed free agent SS Eduardo Charles to a minor league contract.
