date,channel,direction,assets_in,assets_out,unresolved,desc
2018-11-02,fa_minor,in,Sean Gilmartin,,0,Baltimore Orioles signed free agent LHP Sean Gilmartin to a minor league contract.
2018-11-05,fa_minor,in,Corban Joseph,,0,Baltimore Orioles signed free agent 2B Corban Joseph to a minor league contract.
2018-11-17,fa_minor,in,Christopher Bostick,,0,Baltimore Orioles signed free agent 2B Christopher Bostick to a minor league contract and invited him to spring training.
2018-11-20,fa_minor,in,Zach Vincej,,0,Baltimore Orioles signed free agent SS Zach Vincej to a minor league contract and invited him to spring training.
2018-11-20,fa_minor,in,Jace Peterson,,0,Baltimore Orioles signed free agent 2B Jace Peterson to a minor league contract and invited him to spring training.
2018-11-20,fa_minor,in,Jefferson Medina,,0,Baltimore Orioles signed free agent RHP Jeffeson Medina to a minor league contract.
2018-11-29,fa_minor,in,Josh Lucas,,0,Baltimore Orioles signed free agent RHP Josh Lucas to a minor league contract and invited him to spring training.
2018-11-30,passive_loss,out,,Caleb Joseph,0,C Caleb Joseph elected free agency.
2018-11-30,passive_loss,out,,Tim Beckham,0,SS Tim Beckham elected free agency.
2018-12-07,fa_minor,in,Hector Lopez,,0,Baltimore Orioles signed free agent RHP Hector Lopez to a minor league contract.
2018-12-10,waiver_loss,out,,Ryan Meisinger,0,St. Louis Cardinals claimed RHP Ryan Meisinger off waivers from Baltimore Orioles.
2018-12-10,waiver_claim,in,Rio Ruiz,,0,Baltimore Orioles claimed 3B Rio Ruiz off waivers from Atlanta Braves.
2018-12-13,waiver_claim,in,Richie Martin Jr.,,0,Baltimore Orioles claimed SS Richie Martin off waivers from Midland RockHounds.
2018-12-13,trade,both,Drew Jackson,,1,Philadelphia Phillies traded SS Drew Jackson to Baltimore Orioles for Future Considerations.
2018-12-16,fa_minor,in,Sean Miller,,0,Baltimore Orioles signed free agent SS Sean Miller to a minor league contract.
2018-12-25,fa_minor,in,Lians Beato,,0,Baltimore Orioles signed free agent C Lians Beato to a minor league contract.
2019-01-04,waiver_claim,in,Austin Brice,,0,Baltimore Orioles claimed RHP Austin Brice off waivers from Los Angeles Angels.
2019-01-05,trade,both,,Breyvic Valera,1,Baltimore Orioles traded 2B Breyvic Valera to San Francisco Giants for cash.
2019-01-06,fa_minor,in,Gregory Infante,,0,Baltimore Orioles signed free agent RHP Gregory Infante to a minor league contract and invited him to spring training.
2019-01-08,fa_minor,in,Carlos Pérez,,0,Baltimore Orioles signed free agent C Carlos Perez to a minor league contract and invited him to spring training.
2019-01-11,fa_minor,in,Bo Schultz,,0,Baltimore Orioles signed free agent RHP Bo Schultz to a minor league contract and invited him to spring training.
2019-01-11,waiver_claim,in,Hanser Alberto,,0,Baltimore Orioles claimed SS Hanser Alberto off waivers from New York Yankees.
2019-01-15,fa_minor,in,Cael Brockmeyer,,0,Baltimore Orioles signed free agent C Cael Brockmeyer to a minor league contract and invited him to spring training.
2019-01-28,waiver_claim,in,Jack Reinheimer,,0,Baltimore Orioles claimed SS Jack Reinheimer off waivers from Texas Rangers.
2019-02-04,waiver_loss,out,,Austin Brice,0,Miami Marlins claimed RHP Austin Brice off waivers from Baltimore Orioles.
2019-02-05,fa_minor,in,Jesús Sucre,,0,Baltimore Orioles signed free agent C Jesus Sucre to a minor league contract and invited him to spring training.
2019-02-07,fa_major,in,Nate Karns,,0,Baltimore Orioles signed free agent RHP Nate Karns.
2019-02-11,fa_minor,in,Eric Young Jr.,,0,Baltimore Orioles signed free agent LF Eric Young Jr. to a minor league contract and invited him to spring training.
2019-02-16,fa_minor,in,Alcides Escobar,,0,Baltimore Orioles signed free agent SS Alcides Escobar to a minor league contract and invited him to spring training.
2019-02-17,fa_minor,in,Jordany Vasquez,,0,Baltimore Orioles signed free agent RHP Jordany Vasquez to a minor league contract.
2019-02-17,fa_minor,in,Yan Lara,,0,Baltimore Orioles signed free agent LHP Yan Lara to a minor league contract.
2019-02-17,fa_minor,in,Oscar Pierret,,0,Baltimore Orioles signed free agent RHP Oscar Pierret to a minor league contract.
2019-02-18,fa_minor,in,Marcos Molina,,0,Baltimore Orioles signed free agent RHP Marcos Molina to a minor league contract.
2019-02-19,waiver_claim,in,Josh Osich,,0,Baltimore Orioles claimed LHP Josh Osich off waivers from San Francisco Giants.
2019-02-21,fa_minor,in,Jesus Chavez,,0,Baltimore Orioles signed free agent LHP Jesus Chavez to a minor league contract.
2019-02-22,waiver_loss,out,,Hanser Alberto,0,San Francisco Giants claimed SS Hanser Alberto off waivers from Baltimore Orioles.
2019-03-01,waiver_claim,in,Hanser Alberto,,0,Baltimore Orioles claimed SS Hanser Alberto off waivers from San Francisco Giants.
2019-03-03,trade,both,Xavier Moore,,1,Minnesota Twins traded RHP Xavier Moore to Baltimore Orioles for Future Considerations.
2019-03-06,fa_minor,in,Enmanuel Gutierrez,,0,Baltimore Orioles signed free agent RHP Enmanuel Gutierrez to a minor league contract.
2019-03-07,fa_minor,in,Juan De Los Santos,,0,Baltimore Orioles signed free agent RHP Juan De Los Santos to a minor league contract.
2019-03-07,fa_minor,in,Jalen Miller,,0,Baltimore Orioles signed free agent RHP Jalen Miller to a minor league contract.
2019-03-07,waiver_loss,out,,Donnie Hart,0,Los Angeles Dodgers claimed Donnie Hart off waivers from Baltimore Orioles.
2019-03-08,trade,both,Dwight Smith Jr.,,1,Toronto Blue Jays traded LF Dwight Smith Jr. to Baltimore Orioles for Future Considerations.
2019-03-11,waiver_loss,out,,Josh Osich,0,Chicago White Sox claimed Josh Osich off waivers from Baltimore Orioles.
2019-03-12,fa_minor,in,Eduard Monroy,,0,Baltimore Orioles signed free agent LHP Eduard Monroy to a minor league contract.
2019-03-18,trade,both,Lenin Rodriguez,,1,Philadelphia Phillies traded C Lenin Rodriguez to Baltimore Orioles for Future Considerations.
2019-03-20,passive_loss,out,,Omar Bencomo,0,Baltimore Orioles released RHP Omar Bencomo.
2019-03-20,passive_loss,out,,Alcides Escobar,0,Baltimore Orioles released SS Alcides Escobar.
2019-03-20,passive_loss,out,,Bo Schultz,0,Baltimore Orioles released RHP Bo Schultz.
2019-03-20,fa_minor,in,Samy Apolinar,,0,Baltimore Orioles signed free agent 1B Samy Apolinar to a minor league contract.
2019-03-21,passive_loss,out,,Eric Young Jr.,0,Baltimore Orioles released LF Eric Young Jr..
2019-03-23,waiver_claim,in,Pedro Severino,,0,Baltimore Orioles claimed C Pedro Severino off waivers from Washington Nationals.
2019-03-23,trade,both,Tyler Herb,Mike Yastrzemski,0,Baltimore Orioles traded LF Mike Yastrzemski to San Francisco Giants for RHP Tyler Herb.
2019-03-26,fa_minor,in,Michael Mantecón,,0,Baltimore Orioles signed free agent C Michael Mantecon to a minor league contract.
2019-03-28,fa_minor,in,Mason Williams,,0,Baltimore Orioles signed free agent OF Mason Williams to a minor league contract.
2019-04-02,trade,both,,Andrew Susac,1,Baltimore Orioles traded C Andrew Susac to Kansas City Royals for cash.
2019-04-05,fa_major,in,Dan Straily,,0,Baltimore Orioles signed free agent RHP Dan Straily.
2019-04-07,fa_minor,in,Joel Benitez,,0,Baltimore Orioles signed free agent RHP Joel Benitez to a minor league contract.
2019-04-08,fa_minor,in,Deiby Ramirez,,0,Baltimore Orioles signed free agent C Deiby Ramirez to a minor league contract.
2019-04-08,fa_minor,in,Stiven Acevedo,,0,Baltimore Orioles signed free agent OF Stiven Acevedo to a minor league contract.
2019-04-11,fa_minor,in,Jesmuel Valentín,,0,Baltimore Orioles signed free agent 3B Jesmuel Valentin to a minor league contract.
2019-04-11,fa_minor,in,Ángel Vargas,,0,Baltimore Orioles signed free agent RHP Angel Vargas to a minor league contract.
2019-04-16,fa_minor,in,Chris Madera,,0,Baltimore Orioles signed free agent OF Chris Madera to a minor league contract.
2019-04-17,fa_minor,in,Anyelo Reyes,,0,Baltimore Orioles signed free agent IF Anyelo Reyes to a minor league contract.
2019-04-20,fa_minor,in,Hector Lucero,,0,Baltimore Orioles signed free agent C Hector Lucero to a minor league contract.
2019-04-24,fa_minor,in,Joeli Martinez,,0,Baltimore Orioles signed free agent RHP Joeli Martinez to a minor league contract.
2019-04-24,fa_minor,in,James Rolle,,0,Baltimore Orioles signed free agent 1B James Rolle to a minor league contract.
2019-04-24,fa_minor,in,Orlando Fulgencio,,0,Baltimore Orioles signed free agent RHP Orlando Fulgencio to a minor league contract.
2019-04-24,fa_minor,in,Harif Frias,,0,Baltimore Orioles signed free agent RHP Harif Frias to a minor league contract.
2019-04-24,trade,both,Ryne Ogren,Mike Wright Jr.,0,Baltimore Orioles traded RHP Mike Wright to Seattle Mariners for SS Ryne Ogren.
2019-04-25,fa_minor,in,Jorge Morla,,0,Baltimore Orioles signed free agent RHP Jorge Morla to a minor league contract.
2019-04-28,waiver_claim,in,Shawn Armstrong,,0,Baltimore Orioles claimed RHP Shawn Armstrong off waivers from Seattle Mariners.
2019-05-01,fa_minor,in,Juan De La Rosa,,0,Baltimore Orioles signed free agent OF Juan De La Rosa to a minor league contract.
2019-05-01,fa_minor,in,Andersson Espinal,,0,Baltimore Orioles signed free agent LHP Andersson Espinal to a minor league contract.
2019-05-01,fa_minor,in,Edison Lantigua,,0,Baltimore Orioles signed free agent OF Edison Lantigua to a minor league contract.
2019-05-09,fa_minor,in,Luis Sena,,0,Baltimore Orioles signed free agent IF Luis Sena to a minor league contract.
2019-05-20,fa_minor,in,Darlin Alcántara,,0,Baltimore Orioles signed free agent RHP Darlin Alcantara to a minor league contract.
2019-05-20,fa_minor,in,Raily Nunez,,0,Baltimore Orioles signed free agent SS Raily Nunez to a minor league contract.
2019-05-20,fa_minor,in,Luis Valdez,,0,Baltimore Orioles signed free agent SS Luis Valdez to a minor league contract.
2019-05-20,fa_minor,in,Jairo Vásquez,,0,Baltimore Orioles signed free agent RHP Jairo Vasquez to a minor league contract.
2019-05-20,fa_minor,in,Brayner Sánchez,,0,Baltimore Orioles signed free agent RHP Brayner Sanchez to a minor league contract.
2019-05-20,fa_minor,in,Yorkislandy Alvarez,,0,Baltimore Orioles signed free agent SS Yorkislandy Alvarez to a minor league contract.
2019-05-20,fa_minor,in,Julio Herrera,,0,Baltimore Orioles signed free agent C Julio Herrera to a minor league contract.
2019-05-22,waiver_claim,in,Chandler Shepherd,,0,Baltimore Orioles claimed RHP Chandler Shepherd off waivers from Chicago Cubs.
2019-05-22,trade,both,Keon Broxton,,1,New York Mets traded CF Keon Broxton to Baltimore Orioles for Future Considerations.
2019-05-27,fa_minor,in,Welington Santana,,0,Baltimore Orioles signed free agent RF Welington Santana to a minor league contract.
2019-05-27,trade,both,,Yefry Ramírez,1,Baltimore Orioles traded RHP Yefry Ramirez to Pittsburgh Pirates for Player To Be Named Later.
2019-05-28,fa_minor,in,Joel Munoz,,0,Baltimore Orioles signed free agent C Joel Munoz to a minor league contract.
2019-05-30,fa_minor,in,Christopher Marte,,0,Baltimore Orioles signed free agent RHP Christopher Marte to a minor league contract.
2019-05-31,fa_minor,in,Yeudry Manzanillo,,0,Baltimore Orioles signed free agent RHP Yeudry Manzanillo to a minor league contract.
2019-05-31,fa_minor,in,Petter Caty,,0,Baltimore Orioles signed free agent RHP Petter Caty to a minor league contract.
2019-06-01,fa_minor,in,Samuel De La Cruz,,0,Baltimore Orioles signed free agent 1B Samuel De La Cruz to a minor league contract.
2019-06-04,fa_minor,in,Kyle Brnovich,,0,Baltimore Orioles signed free agent RHP Kyle Brnovich to a minor league contract.
2019-06-09,trade,both,Thomas Eshelman,,0,Philadelphia Phillies traded RHP Tom Eshelman to Baltimore Orioles.
2019-06-10,fa_minor,in,Issac Solano,,0,Baltimore Orioles signed free agent P Issac Solano to a minor league contract.
2019-06-10,fa_minor,in,Anthony Morillo,,0,Baltimore Orioles signed free agent RHP Anthony Morillo to a minor league contract.
2019-06-11,signed_other,in,Johnny Rizer,,0,Baltimore Orioles signed OF Johnny Rizer.
2019-06-11,signed_other,in,Joey Ortiz,,0,Baltimore Orioles signed SS Joseph Ortiz.
2019-06-11,signed_other,in,Toby Welk,,0,Baltimore Orioles signed 3B Toby Welk.
2019-06-11,signed_other,in,Jordan Cannon,,0,Baltimore Orioles signed C Jordan Cannon.
2019-06-11,signed_other,in,Kyle Martin,,0,Baltimore Orioles signed RHP Kyle Martin.
2019-06-12,fa_minor,in,Joldanny Genao,,0,Baltimore Orioles signed free agent RHP Joldanny Genao to a minor league contract.
2019-06-12,fa_minor,in,Manuel Duncan,,0,Baltimore Orioles signed free agent RHP Manuel Duncan to a minor league contract.
2019-06-15,signed_other,in,Kade Strowd,,0,Baltimore Orioles signed RHP Kade Strowd.
2019-06-19,signed_other,in,Darell Hernaiz,,0,Baltimore Orioles signed SS Darell Hernaiz.
2019-06-19,signed_other,in,Jake Prizina,,0,Baltimore Orioles signed LHP Jake Prizina.
2019-06-20,fa_minor,in,Kieran Lovegrove,,0,Baltimore Orioles signed free agent RHP Kieran Lovegrove to a minor league contract.
