year,round,pick_overall,round_pick,person_id,person_name,team,signed,bonus,pick_value,school
2019,1,1,1,668939,Adley Rutschman,Baltimore Orioles,True,8100000,8415300,Oregon State
2019,1,2,2,677951,Bobby Witt Jr.,Kansas City Royals,True,7787400,7789900,Colleyville Heritage HS
2019,1,3,3,683734,Andrew Vaughn,Chicago White Sox,True,7221200,7221200,California
2019,1,4,4,668709,JJ Bleday,Miami Marlins,True,6670000,6664000,Vanderbilt
2019,1,5,5,682985,Riley Greene,Detroit Tigers,True,6180700,6180700,Hagerty HS
2019,1,6,6,682928,CJ Abrams,San Diego Padres,True,5200000,5742900,Blessed Trinity HS
2019,1,7,7,666157,Nick Lodolo,Cincinnati Reds,True,5432400,5432400,TCU
2019,1,8,8,673962,Josh Jung,Texas Rangers,True,4400000,5176900,Texas Tech
2019,1,9,9,669127,Shea Langeliers,Atlanta Braves,True,3997500,4949100,Baylor
2019,1,10,10,666183,Hunter Bishop,San Francisco Giants,True,4097500,4739900,Arizona State
2019,1,11,11,666201,Alek Manoah,Toronto Blue Jays,True,4547500,4547500,West Virginia
2019,1,12,12,683146,Brett Baty,New York Mets,True,3900000,4366400,Lake Travis HS
2019,1,13,13,686577,Keoni Cavaco,Minnesota Twins,True,4050000,4197300,Eastlake HS
2019,1,14,14,681082,Bryson Stott,Philadelphia Phillies,True,3900000,4036800,UNLV
2019,1,15,15,669717,Will Wilson,Los Angeles Angels,True,3397500,3885800,North Carolina State
2019,1,16,16,682998,Corbin Carroll,Arizona Diamondbacks,True,3745500,3745500,Lakeside HS
2019,1,17,17,671131,Jackson Rutledge,Washington Nationals,True,3450000,3609700,San Jacinto College North
2019,1,18,18,682990,Quinn Priester,Pittsburgh Pirates,True,3400000,3481300,Cary-Grove HS
2019,1,19,19,668868,Zack Thompson,St. Louis Cardinals,True,3000000,3359000,Kentucky
2019,1,20,20,669923,George Kirby,Seattle Mariners,True,3242900,3242900,Elon University
2019,1,21,21,669699,Braden Shewmake,Atlanta Braves,True,3129800,3132300,Texas A&M
2019,1,22,22,675659,Greg Jones,Tampa Bay Rays,True,3024500,3027000,UNC Wilmington
2019,1,23,23,669911,Michael Toglia,Colorado Rockies,True,2725000,2926800,UCLA
2019,1,24,24,682982,Daniel Espino,Cleveland Guardians,True,2500000,2831300,Georgia Premier Academy
2019,1,25,25,682210,Kody Hoese,Los Angeles Dodgers,True,2740300,2740300,Tulane
2019,1,26,26,686796,Blake Walston,Arizona Diamondbacks,True,2450000,2653400,New Hanover HS
2019,1,27,27,686754,Ryan Jensen,Chicago Cubs,True,2000000,2570100,Fresno State
2019,1,28,28,663629,Ethan Small,Milwaukee Brewers,True,1800000,2493900,Mississippi State
2019,1,29,29,669722,Logan Davidson,Athletics,True,2424600,2424600,Clemson
2019,1,30,30,683011,Anthony Volpe,New York Yankees,True,2740300,2365500,Delbarton School
2019,1,31,31,683737,Michael Busch,Los Angeles Dodgers,True,2312000,2312000,North Carolina
2019,1,32,32,686676,Korey Lee,Houston Astros,True,1750000,2257300,California
2019,1C,33,1,683005,Brennan Malone,Arizona Diamondbacks,True,2202200,2202200,IMG Academy
2019,1C,34,2,686753,Drey Jameson,Arizona Diamondbacks,True,1400000,2148100,Ball State
2019,CB-A,35,1,670224,Kameron Misner,Miami Marlins,True,2115000,2095800,Missouri
2019,CB-A,36,2,683101,JJ Goss,Tampa Bay Rays,True,2045400,2045400,Cypress Ranch HS
2019,CB-A,37,3,686445,Sammy Siani,Pittsburgh Pirates,True,2150000,1999300,William Penn Charter School
2019,CB-A,38,4,674674,T.J. Sikkema,New York Yankees,True,1949800,1952300,Missouri
2019,CB-A,39,5,670242,Matt Wallner,Minnesota Twins,True,1800000,1906800,Southern Mississippi
2019,CB-A,40,6,686751,Seth Johnson,Tampa Bay Rays,True,1722500,1856700,Campbell University
2019,CB-A,41,7,673995,Davis Wendzel,Texas Rangers,True,1600000,1813500,Baylor
2019,2,42,1,683002,Gunnar Henderson,Baltimore Orioles,True,2300000,1771100,John T. Morgan Academy
2019,2,43,2,669069,Cam Cannon,Boston Red Sox,True,1300000,1729800,Arizona
2019,2,44,3,669381,Brady McConnell,Kansas City Royals,True,2222500,1689500,Florida
2019,2,45,4,683010,Matthew Thompson,Chicago White Sox,True,2100000,1650200,Cypress Ranch HS
2019,2,46,5,683083,Nasim Nuñez,Miami Marlins,True,2200000,1617400,Collins Hill HS
2019,2,47,6,666161,Nick Quintana,Detroit Tigers,True,1580200,1580200,Arizona
2019,2,48,7,687084,Joshua Mears,San Diego Padres,True,1000000,1543600,Federal Way HS
2019,2,49,8,677956,Rece Hinds,Cincinnati Reds,True,1797500,1507600,IMG Academy
2019,2,50,9,674114,Ryan Garcia,Texas Rangers,True,1469900,1469900,UCLA
2019,2,51,10,668824,Logan Wyatt,San Francisco Giants,True,997500,1436900,Louisville
2019,2,52,11,683086,Kendall Williams,Toronto Blue Jays,True,1547500,1403200,IMG Academy
2019,2,53,12,683181,Josh Wolf,New York Mets,True,2150000,1370400,St. Thomas HS
2019,2,54,13,683764,Matt Canterino,Minnesota Twins,True,1100000,1338500,Rice
2019,2,55,14,677347,Kyren Paris,Los Angeles Angels,True,1400000,1307000,Freedom HS
2019,2,56,15,669194,Ryne Nelson,Arizona Diamondbacks,True,1100000,1276400,Oregon
2019,2,57,16,685301,Matt Gorski,Pittsburgh Pirates,True,1000000,1243600,Indiana
2019,2,58,17,686801,Tre Fletcher,St. Louis Cardinals,True,1500000,1214300,Deering HS
2019,2,59,18,682227,Brandon Williamson,Seattle Mariners,True,925000,1185500,TCU
2019,2,60,19,685121,Beau Philip,Atlanta Braves,True,697500,1157400,Oregon State
2019,2,61,20,669648,John Doxakis,Tampa Bay Rays,True,1127200,1129700,Texas A&M
2019,2,62,21,668845,Aaron Schunk,Colorado Rockies,True,1102700,1102700,Georgia
2019,2,63,22,686798,Yordys Valdes,Cleveland Guardians,True,1001000,1076300,McArthur HS
2019,2,64,23,668664,Chase Strumpf,Chicago Cubs,True,1050300,1050300,UCLA
2019,2,65,24,681520,Antoine Kelly,Milwaukee Brewers,True,1025100,1025100,Wabash Valley College
2019,2,66,25,666121,Tyler Baum,Athletics,True,900000,1003300,North Carolina
2019,2,67,26,669701,Josh Smith,New York Yankees,True,976700,976700,LSU
2019,2,68,27,666197,Grae Kessinger,Houston Astros,True,750000,953100,Ole Miss
2019,2,69,28,683090,Matthew Lugo,Boston Red Sox,True,1100000,929800,Carlos Beltran Baseball Academy
2019,CB-B,70,1,679525,Alec Marsh,Kansas City Royals,True,904300,906800,Arizona State
2019,CB-B,71,2,669065,Kyle Stowers,Baltimore Orioles,True,884200,884200,Stanford
2019,CB-B,72,3,669707,Jared Triolo,Pittsburgh Pirates,True,868200,870700,Houston
2019,CB-B,73,4,686482,Logan Driscoll,San Diego Padres,True,600000,857400,George Mason
2019,CB-B,74,5,674072,Tommy Henry,Arizona Diamondbacks,True,750000,844200,Michigan
2019,CB-B,75,6,666150,Dominic Fletcher,Arizona Diamondbacks,True,700000,831100,Arkansas
2019,CB-B,76,7,663462,Isaiah Campbell,Seattle Mariners,True,850000,818200,Arkansas
2019,CB-B,77,8,666154,Karl Kauffmann,Colorado Rockies,True,805600,805600,Michigan
2019,2C,78,1,683167,Jimmy Lewis,Los Angeles Dodgers,True,1097500,793000,Lake Travis HS
